symbol,name,chain,fdv,fdv_src,alpha_date,perp_date,coinbase_date,upbit_date,bithumb_date,first_korean,days_alpha_to_perp,days_alpha_to_coinbase,days_alpha_to_korean,days_coinbase_to_perp,days_coinbase_to_korean,days_perp_to_korean,on_upbit,on_bithumb,on_coinone
ONDO,Ondo,Ethereum,3578468713.1,cmc,2025-02-13,2024-01-20,2024-01-22,2024-06-14,2024-04-22,2024-04-22,-390,-388,-297,-2,91,93,True,True,True
MORPHO,Morpho Token,Ethereum,2172154369.76,cmc,2025-02-13,2024-11-27,2025-02-27,,2024-12-04,2024-12-04,-78,14,-71,-92,-85,7,False,True,True
AERO,Aerodrome,Base,804216162.9,cmc,2025-02-13,2024-12-04,2024-02-06,2025-08-22,2025-01-23,2025-01-23,-71,-373,-21,302,352,50,True,True,True
VIRTUAL,Virtuals Protocol,Base,726807057.05,cmc,2025-02-13,2024-12-10,2026-04-29,2025-01-31,2024-11-28,2024-11-28,-65,440,-77,-505,-517,-12,True,True,True
KMNO,Kamino,Solana,188000997.65,cmc,2025-02-13,2024-12-20,2025-09-11,,2025-09-18,2025-09-18,-55,210,217,-265,7,272,False,True,False
B3,B3,Base,76898181.45,cmc,2025-02-21,2025-02-13,2025-02-10,2026-05-07,2025-05-27,2025-05-27,-8,-11,95,3,106,103,True,True,True
FLUID,Fluid,Ethereum,137272509.3,cmc,2025-02-21,2025-09-24,2025-11-25,2025-09-24,2025-09-25,2025-09-24,215,277,215,-62,-62,0,True,True,False
VVV,Venice Token,Base,1346742304.27,cmc,2025-02-21,2025-01-29,2025-01-28,2026-05-12,2026-03-31,2026-03-31,-23,-24,403,1,427,426,True,True,False
DRIFT,Drift,Solana,26396483.5,cmc,2025-02-21,2024-11-08,2024-05-17,2024-11-08,2025-01-13,2024-11-08,-105,-280,-105,175,175,0,True,True,True
PLUME,Plume,Ethereum,130480822.55,cmc,2025-03-21,2025-03-21,2025-12-10,2025-11-26,2025-03-04,2025-03-04,0,264,-17,-264,-281,-17,True,True,True
ATH,Aethir Token,Ethereum,251285433.75,cmc,2025-04-01,2025-04-02,2025-03-13,2024-08-14,2024-08-13,2024-08-13,1,-19,-231,20,-212,-232,True,True,True
BIGTIME,Big Time,Ethereum,56903150.42,cmc,2025-04-01,2023-10-12,2023-10-12,2024-09-05,2023-11-29,2023-11-29,-537,-537,-489,0,48,48,True,True,True
ZETA,Zeta,Ethereum,102765443.4,cmc,2025-04-02,2024-02-02,2024-02-01,2024-05-03,2024-05-15,2024-05-03,-425,-426,-334,1,92,91,True,True,True
SAFE,Safe Token,Ethereum,126711019.98,cmc,2025-04-02,2024-10-25,2024-04-23,2024-10-24,2025-01-09,2024-10-24,-159,-344,-160,185,184,-1,True,True,True
PROMPT,Wayfinder,Ethereum,32891110.26,cmc,2025-04-10,2025-04-11,2025-04-10,,2025-05-19,2025-05-19,1,0,39,1,39,38,False,True,False
SPX,SPX6900,Ethereum,334606592.3,cmc,2025-04-21,2024-12-10,2025-09-09,,,,-132,141,,-273,,,False,False,True
MOG,Mog Coin,Ethereum,55769734.84,cmc,2025-04-21,2024-11-07,2024-12-05,,,,-165,-137,,-28,,,False,False,True
POPCAT,Popcat,Solana,51961051.49,cmc,2025-04-21,2024-08-22,2025-02-13,,2025-09-24,2025-09-24,-242,-67,156,-175,223,398,False,True,True
HYPER,Hyperlane,BSC,88560028.63,cmc,2025-04-22,2025-04-22,2025-12-10,2025-07-10,2025-07-09,2025-07-09,0,232,78,-232,-154,78,True,True,True
ZORA,Zora,Base,98675460.35,cmc,2025-04-23,2025-07-25,2025-04-24,2025-10-17,2025-10-20,2025-10-17,93,1,177,92,176,84,True,True,True
SIGN,Sign,BSC,116878864.65,cmc,2025-04-28,2025-04-28,2026-04-21,2025-04-29,2025-04-29,2025-04-29,0,358,1,-358,-357,1,True,True,True
SXT,Space and Time,Base,59559423.02,cmc,2025-05-08,2025-05-02,2025-05-08,,2025-05-12,2025-05-12,-6,0,4,-6,4,10,False,True,False
DOOD,Doodles,BSC,22318993.01,cmc,2025-05-09,2025-05-09,2026-02-05,2025-10-07,2025-10-16,2025-10-07,0,272,151,-272,-121,151,True,True,True
MOODENG,Moo Deng,Solana,50435103.5,cmc,2025-05-11,2024-10-25,2024-12-04,2025-07-03,2024-12-15,2024-12-15,-198,-158,-147,-40,11,51,True,True,True
LA,Lagrange,BSC,106714484.92,cmc,2025-06-04,2025-06-05,2025-06-04,2025-09-18,2025-06-04,2025-06-04,1,0,0,1,0,-1,True,True,True
FLOCK,FLock.io,Base,56361390.38,cmc,2025-06-04,2025-09-09,2025-09-09,2025-09-09,2025-05-29,2025-05-29,97,97,-6,0,-103,-103,True,True,True
HOME,Defi App,BSC,280758697.55,cmc,2025-06-10,2025-06-10,2025-06-10,,2025-06-23,2025-06-23,0,0,13,0,13,13,False,True,True
SPK,Spark,BSC,241096805.46,cmc,2025-06-17,2025-06-17,2025-06-17,2026-04-23,2025-06-16,2025-06-16,0,0,-1,0,-1,-1,True,True,True
NEWT,Newton (NEWT),BSC,68343468.01,cmc,2025-06-24,2025-06-19,2025-06-24,2025-06-24,2025-06-24,2025-06-24,-5,0,0,-5,0,5,True,True,True
PEPE,PePe,TRON,1419862960.43,cmc,2025-07-11,2023-05-05,2024-11-13,2024-11-14,2023-05-17,2023-05-17,-798,-240,-786,-558,-546,12,True,True,True
PUMP,Pump.fun,Solana,1792959781.55,cmc,2025-07-14,2025-07-10,2025-07-15,2025-09-11,2025-09-10,2025-09-10,-4,1,58,-5,57,62,True,True,True
ERA,Caldera,BSC,123456367.71,cmc,2025-07-17,2025-07-17,2025-07-17,2025-07-17,2025-07-17,2025-07-17,0,0,0,0,0,0,True,True,False
G,GIANTS,Solana,1080135.42,cmc,2025-07-18,2024-08-15,2024-08-13,2024-07-11,2024-07-25,2024-07-11,-337,-339,-372,2,-33,-35,True,True,True
TREE,Treehouse,BSC,62656570.17,cmc,2025-07-29,2025-07-29,2025-07-29,2025-08-28,2025-08-07,2025-08-07,0,0,9,0,9,9,True,True,False
TOSHI,Toshi,BSC,63115923.23,cmc,2025-08-01,2025-09-17,2025-01-23,2025-09-17,2025-09-16,2025-09-16,47,-190,46,237,236,-1,True,True,True
TOWNS,Towns,BSC,33309854.36,cmc,2025-08-05,2025-08-05,2025-08-05,,2025-08-12,2025-08-12,0,0,7,0,7,7,False,True,True
PROVE,Succinct,BSC,235510720.16,cmc,2025-08-05,2025-08-05,2025-08-05,2025-08-06,2025-08-05,2025-08-05,0,0,0,0,0,0,True,True,True
SAPIEN,Sapien,Base,99686258.63,cmc,2025-08-20,2025-08-20,2025-08-20,,2025-12-04,2025-12-04,0,0,106,0,106,106,False,True,False
AVNT,Avantis,Base,149913933.71,cmc,2025-09-09,2025-09-09,2025-09-09,2025-09-15,2025-09-14,2025-09-14,0,0,5,0,5,5,True,True,True
LINEA,Linea,Linea,218884106.16,cmc,2025-09-10,2025-09-01,2025-10-09,2025-09-10,2025-09-10,2025-09-10,-9,29,0,-38,-29,9,True,True,True
ZKC,Boundless,BSC,67105864.6,cmc,2025-09-15,2025-09-15,2025-09-15,2025-09-15,2025-09-14,2025-09-14,0,0,-1,0,-1,-1,True,True,True
BARD,Lombard,BSC,192845573.7,cmc,2025-09-18,2025-09-18,2025-09-18,2025-09-18,2025-09-17,2025-09-17,0,0,-1,0,-1,-1,True,True,True
ASTER,Aster,BSC,6078724728.45,cmc,2025-09-19,2025-09-19,2025-11-20,,2025-10-09,2025-10-09,0,62,20,-62,-42,20,False,True,True
XPL,Plasma,BSC,934150348.11,cmc,2025-09-25,2025-08-22,2025-12-02,2025-09-25,2025-09-28,2025-09-25,-34,68,0,-102,-68,34,True,True,False
XAN,Anoma,BSC,105037575.78,cmc,2025-09-29,2025-09-29,2025-09-29,,2025-10-06,2025-10-06,0,0,7,0,7,7,False,True,False
2Z,DoubleZero,Solana,931162125.34,cmc,2025-10-02,2025-10-02,2025-10-16,2025-10-02,2025-10-01,2025-10-01,0,14,-1,-14,-15,-1,True,True,True
WAL,Walrus,Sui,293513925.48,cmc,2025-10-09,2025-03-27,2026-02-11,2025-03-28,2025-03-26,2025-03-26,-196,125,-197,-321,-322,-1,True,True,True
EUL,Euler Finance,Ethereum,36500302.07,cmc,2025-10-10,2025-10-13,2025-08-06,2025-09-17,2025-09-04,2025-09-04,3,-65,-36,68,29,-39,True,True,False
YB,Yield Basis,BSC,101375155.97,cmc,2025-10-15,2025-10-10,2025-10-15,2025-12-26,2025-10-16,2025-10-16,-5,0,1,-5,1,6,True,True,True
RECALL,Recall,Base,52833575.8,cmc,2025-10-15,2025-10-15,2025-10-15,,2025-10-20,2025-10-20,0,0,5,0,5,5,False,True,False
MET,Meteora,Solana,128376583.3,cmc,2025-10-23,2025-10-11,2025-10-23,,2025-11-17,2025-11-17,-12,0,25,-12,25,37,False,True,True
KITE,Kite,BSC,1955577006.64,cmc,2025-11-03,2025-10-29,2025-11-03,2025-11-03,2025-11-02,2025-11-02,-5,0,-1,-5,-1,4,True,True,False
TRUST,Intuition,Base,68659837.55,cmc,2025-11-05,2025-11-05,2025-11-05,2025-11-05,2025-11-04,2025-11-04,0,0,-1,0,-1,-1,True,True,False
ALLO,Allora,BSC,249885577.16,cmc,2025-11-11,2025-11-11,2025-11-12,,2025-12-08,2025-12-08,0,1,27,-1,26,27,False,True,False
IRYS,Irys,BSC,245226943.42,cmc,2025-11-25,2025-11-26,2025-11-25,2026-05-15,2025-11-26,2025-11-26,1,0,1,1,1,0,True,True,False
WET,Humidifi,Solana,74062133.75,cmc,2025-12-09,2025-12-10,2025-12-09,2025-12-15,2025-12-14,2025-12-14,1,0,5,1,5,4,True,True,True
ZKP,zkPass,BSC,69228073.8,cmc,2025-12-19,2025-12-21,2025-12-19,2025-12-26,2025-12-25,2025-12-25,2,0,6,2,6,4,True,True,False
BREV,Brevis,BSC,104217536.76,cmc,2026-01-06,2025-12-30,2026-01-06,2026-01-07,2026-01-06,2026-01-06,-7,0,0,-7,0,7,True,True,False
ELSA,HeyElsa,Base,62818891.2,cmc,2026-01-20,2026-01-22,2026-01-20,2026-01-22,2026-01-28,2026-01-22,2,0,2,2,2,0,True,True,False
GWEI,ETHGas,BSC,1088331121.05,cmc,2026-01-21,2026-01-29,2026-02-24,,2026-02-25,2026-02-25,8,34,35,-26,1,27,False,True,False
SKR,Seeker,Solana,142938236.97,cmc,2026-01-22,2026-01-22,2026-01-21,2026-02-24,2026-01-21,2026-01-21,0,-1,-1,1,0,-1,True,True,True
SENT,Sentient,BSC,524270220.67,cmc,2026-01-22,2025-11-14,2026-01-22,2026-01-29,2026-01-28,2026-01-28,-69,0,6,-69,6,75,True,True,True
BIRB,Moonbirds,Solana,98456817.19,cmc,2026-01-28,2026-01-29,2026-01-28,2026-02-03,2026-02-02,2026-02-02,1,0,5,1,5,4,True,True,False
ZAMA,Zama,BSC,393009844.03,cmc,2026-02-02,2026-01-09,2026-02-02,2026-04-14,2026-04-13,2026-04-13,-24,0,70,-24,70,94,True,True,False
ESP,Espresso,Arbitrum,234604830.76,cmc,2026-02-12,2026-02-10,2026-02-13,2026-02-24,2026-02-23,2026-02-23,-2,1,11,-3,10,13,True,True,True
IP,Story,BSC,450823066.13,cmc,2026-02-12,2025-02-13,2025-02-13,2025-08-08,2025-02-12,2025-02-12,-364,-364,-365,0,-1,-1,True,True,True
ROBO,Fabric Protocol,BSC,196763965.63,cmc,2026-03-04,2026-02-27,2026-02-27,,2026-03-17,2026-03-17,-5,-5,13,0,18,18,False,True,True
CFG,Centrifuge,Ethereum,185520756.68,cmc,2026-03-16,2026-03-16,2025-09-25,2026-02-26,2026-03-03,2026-02-26,0,-172,-18,172,154,-18,True,True,True
KAT,Katana,BSC,72935226.2,cmc,2026-03-18,2026-03-02,2026-03-18,2026-03-26,2026-03-25,2026-03-25,-16,0,7,-16,7,23,True,True,False
PRL,Perle,BSC,205200958.64,cmc,2026-03-25,2026-04-01,2026-03-25,2026-04-27,2026-04-26,2026-04-26,7,0,32,7,32,25,True,True,False
EDGE,edgeX,BSC,1380596359.29,cmc,2026-03-31,2026-03-19,2025-04-02,2026-03-04,2026-03-03,2026-03-03,-12,-363,-28,351,335,-16,True,True,True
OPG,OpenGradient,BSC,163021613.11,cmc,2026-04-21,2026-04-22,2026-04-21,,2026-05-21,2026-05-21,1,0,30,1,30,29,False,True,False
CHIP,USD.AI,Arbitrum,392573843.03,cmc,2026-04-21,2026-04-16,2026-04-21,2026-04-21,2026-04-20,2026-04-20,-5,0,-1,-5,-1,4,True,True,False
BILL,Billions Network,BSC,727272819.37,cmc,2026-05-04,2026-05-07,2026-05-04,,2026-05-27,2026-05-27,3,0,23,3,23,20,False,True,False
